Categoria,Funcionalidade,Nosso sistema,OfficeRnD,Nexudus,Archie,Optix,Spacebring,Cobot,Coworks,Proximity,Habu,Yardi Kube,Evidencia,Conclusao
CRM e vendas,Cadastro de leads,Parcial (tabela vazia),Completo,Completo,Completo,5,Integrado (HubSpot),Leve,Completo (Leads DB),Nao confirmado,Nao encontrado,Lead gen tools,Workeaser: CODIGO+BANCO leads=0,Inferior
CRM e vendas,Pipeline comercial,Parcial (0 dados),Completo,Completo,Completo,5,Nao nativo,Nao nativo,Parcial,Nao confirmado,Nao encontrado,Integrado HubSpot,Workeaser: CODIGO+BANCO salespipeline=0,Inferior
CRM e vendas,Tours,Parcial (0 dados),Completo,Completo,Completo,4,Integrado (Calendly),Completo,Completo (Tour Requests),Completo (Wave),Nao encontrado,Completo (MIMO),Workeaser: CODIGO+BANCO tours=0,Inferior
CRM e vendas,Proposta/cotacao,Ausente,Completo,Completo,Completo (quotes),4,Ausente,Nao confirmado,Nao confirmado,Ausente,Nao encontrado,Completo (stepped deals),Workeaser: NAO_CONFIRMADO,Inferior
CRM e vendas,Conversao lead->cliente,Parcial,Completo,Completo,Completo,5,Completo (1 clique),Completo,Completo,Nao confirmado,Nao encontrado,Completo,Workeaser: CODIGO,Inferior
CRM e vendas,WhatsApp,Sim (Meta Cloud),Nao confirmado,Nao confirmado,Nao confirmado,Nao confirmado,Nao confirmado,Nao confirmado,Nao confirmado,Nao confirmado,Nao confirmado,Nao confirmado,Workeaser: CODIGO MetaCloudImplementation,Superior (diferencial)
Clientes e membros,Cadastro de empresa,Sim (240),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: BANCO client_accounts=240,Equivalente
Clientes e membros,Membros vinculados a empresa,Parcial,Sim,Sim,Sim,Nao confirmado,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: CODIGO cowork_clients,Equivalente
Clientes e membros,Portal do cliente,Sim (web),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: CODIGO client/membership,Equivalente
Clientes e membros,App movel,Ausente,Sim (branded),Sim (Passport),Sim (branded),5,Sim (white-label),Sim (Members App),Sim (white-label),Sim (white-label),Sim,Sim (Member App),Workeaser: NAO_CONFIRMADO app,Inferior
Clientes e membros,Onboarding/offboarding,Parcial (evento email),Completo,Completo,Completo,Nao confirmado,Completo,Completo,Completo,Completo,Completo (self signup),Completo (MIMO),Workeaser: CODIGO evento onboarding,Inferior
Produtos,Escritorio privativo,Parcial (0 rooms),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: BANCO rooms=0,Inferior
Produtos,Mesa dedicada,Sim (4 desks),Sim,Sim,Sim,Nao confirmado,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: BANCO desks=4,Equivalente (catálogo)
Produtos,Sala de reuniao,Sim (5),Sim,Sim,Sim,Nao confirmado,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: BANCO meetrooms=5,Equivalente (catálogo)
Produtos,Day pass,Parcial (0 dados),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: CODIGO+BANCO day_passes=0,Inferior
Produtos,Escritorio virtual,Sim (7 planos),Sim,Sim (dedicado),Sim,1,Sim (dedicado),Ausente,Ausente,Ausente,Ausente,Ausente,Workeaser: BANCO virtual_offices=7,Parcial (só catálogo)
Produtos,Correspondencias mailroom,Parcial (0 dados),Sim (SphereMail),Sim (mail handling),Sim (visitor/delivery),1,Sim (scan/forward/discard),Ausente,Ausente,Ausente,Ausente,Ausente,Workeaser: BANCO mailboxes=0,Inferior
Produtos,USPS Form 1583,Ausente,Nao confirmado,Sim (compliance),Nao confirmado,Nao confirmado,Nao confirmado,Ausente,Ausente,Ausente,Ausente,Ausente,Workeaser: NAO_CONFIRMADO,Inferior
Produtos,Planos recorrentes,Parcial (3 planos, 0 assinaturas),Sim,Sim,Sim,Nao confirmado,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: BANCO subscription_plans=3 subscriptions=0,Inferior
Produtos,Cupons/descontos,Parcial (0 dados),Sim (promo codes),Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: BANCO discount_codes=0,Inferior
Produtos,Creditos/allowances,Parcial (wallet),Sim (Credits),Sim,Sim (credit-based),5,Sim,Sim,Sim (punch passes),Sim (allowances),Sim,Sim,Workeaser: CODIGO wallet,Inferior
Inventario,Unidades/andares/salas,Sim (10 locations),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: BANCO locations=10,Equivalente
Inventario,Capacidade/metragem,Sim (meetrooms),Sim,Sim,Sim,Nao confirmado,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: BANCO,Equivalente
Inventario,QR Code,Ausente,Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: NAO_CONFIRMADO,Inferior
Reservas,Reserva de sala,Sim (book),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: CODIGO meetrooms/book,Equivalente (código)
Reservas,Reserva de mesa,Parcial,Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: CODIGO sem booking de desk,Inferior
Reservas,Google Calendar,Parcial (OAuth placeholder),Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: CONFIG placeholder,Inferior
Reservas,Recorrencia/lista espera,Ausente,Sim,Sim,Sim,Nao confirmado,Sim,Nao confirmado,Nao confirmado,Sim,Nao confirmado,Sim,Workeaser: NAO_CONFIRMADO,Inferior
Reservas,Aprovacao/cancelamento,Sim,Sim,Sim,Sim,5,Sim,Sim,Sim,Sim,Sim,Sim,Workeaser: CODIGO approve/reject,Equivalente
Reservas,Check-in,Ausente,Sim (Checkins),Sim (kiosk),Sim,5,Sim,Sim,Sim,Sim (Wave),Sim (self),Sim,Workeaser: NAO_CONFIRMADO,Inferior
Escritorio virtual,Planos de VO,Sim (7),Sim,Sim,Sim,Nao confirmado,Sim,Ausente,Ausente,Ausente,Ausente,Ausente,Workeaser: BANCO,Equivalente (só quem tem)
Escritorio virtual,Registro de correspondencia,Parcial (0),Sim (SphereMail),Sim,Nao confirmado,1,Sim (scan/forward),Ausente,Ausente,Ausente,Ausente,Ausente,Workeaser: BANCO mailboxes=0,Inferior
