Categoria,Funcionalidade,Peso (1-5),Workeaser (0-5),Ponderado Workeaser,OfficeRnD (0-5),Nexudus (0-5),Optix (0-5),Archie (0-5),Spacebring (0-5),Cobot (0-5),Coworks (0-5),Proximity (0-5),Habu (0-5),Yardi Kube (0-5)
CRM,Cadastro de leads,4,2,8,5,5,5,5,4,4,5,3,1,4
CRM,Pipeline comercial,4,2,8,5,5,5,5,3,3,3,2,1,3
CRM,Tours,3,2,6,5,5,4,5,3,4,5,5,1,5
CRM,Proposta/cotacao,4,0,0,5,5,4,5,1,2,2,1,1,5
CRM,Conversao lead->cliente,4,2,8,5,5,5,5,4,5,5,3,1,5
CRM,WhatsApp,4,4,16,2,2,2,2,2,2,2,2,2,2
Clientes,Cadastro de empresa,5,4,20,5,5,5,5,5,5,5,5,5,5
Clientes,Portal do cliente,5,3,15,5,5,5,5,5,5,5,5,5,5
Clientes,App movel,5,0,0,5,5,5,5,5,5,5,5,5,5
Produtos,Escritorio privativo,5,2,10,5,5,5,5,5,5,5,5,5,5
Produtos,Mesa dedicada,4,3,12,5,5,5,5,5,5,5,5,5,5
Produtos,Sala de reuniao,5,3,15,5,5,5,5,5,5,5,5,5,5
Produtos,Day pass,4,2,8,5,5,5,5,5,5,5,5,5,5
Produtos,Escritorio virtual,5,3,15,5,5,1,5,5,1,1,1,1,1
Produtos,Correspondencias mailroom,5,1,5,5,5,1,4,5,1,1,1,1,1
Produtos,USPS Form 1583,4,0,0,2,4,1,2,2,1,1,1,1,1
Produtos,Planos recorrentes,5,2,10,5,5,5,5,5,5,5,5,5,5
Produtos,Cupons/descontos,3,2,6,5,5,5,5,5,4,5,5,3,5
Produtos,Creditos/allowances,4,2,8,5,5,5,5,5,5,5,4,5,5
Inventario,Unidades/andares/salas,5,4,20,5,5,5,5,5,5,5,5,5,5
Inventario,QR Code,3,0,0,5,5,5,5,5,5,5,5,5,5
Reservas,Reserva de sala,5,3,15,5,5,5,5,5,5,5,5,5,5
Reservas,Reserva de mesa,4,2,8,5,5,5,5,5,5,5,5,5,5
Reservas,Google Calendar,4,1,4,5,5,5,5,5,5,5,5,5,5
Reservas,Aprovacao/cancelamento,4,3,12,5,5,5,5,5,5,5,5,5,5
Reservas,Check-in,5,0,0,5,5,5,5,5,5,5,5,5,5
VO,Registro de correspondencia,5,1,5,5,5,1,3,5,1,1,1,1,1
VO,Digitalizacao/encaminhamento,4,0,0,5,5,1,2,5,1,1,1,1,1
VO,Notificacoes de entrega,3,2,6,5,5,1,3,5,1,1,1,1,1
Contratos,Modelos/geracao,4,2,8,5,5,4,5,5,4,4,3,2,5
Contratos,Assinatura eletronica,5,1,5,5,5,4,5,5,3,3,3,2,5
Contratos,Renovacao,4,1,4,5,5,4,5,5,5,5,3,2,5
Faturamento,Faturas recorrentes,5,1,5,5,5,5,5,5,5,5,5,5,5
Faturamento,Cartao,5,2,10,5,5,5,5,5,5,5,5,5,5
Faturamento,ACH/direct debit,4,0,0,5,5,5,5,5,5,5,5,2,5
Faturamento,Inadimplencia/suspensao,5,1,5,5,5,5,5,5,5,5,5,3,5
Faturamento,Multiplos gateways,3,1,3,5,5,5,5,5,5,5,4,3,5
Contabilidade,QuickBooks Online,5,1,5,5,5,3,5,5,5,5,5,2,3
Contabilidade,Xero,4,0,0,5,5,3,5,5,5,5,3,2,3
Contabilidade,Reconciliacao bancaria,4,1,4,5,5,4,5,5,5,5,5,2,5
Acesso,Fechaduras (Kisi/Brivo/Salto),5,0,0,5,5,4,5,5,5,5,5,2,5
Acesso,QR/app/bluetooth,4,0,0,5,5,4,5,5,5,5,5,2,5
Visitantes,Gestao de visitantes,4,0,0,5,5,5,4,5,5,5,5,2,5
Comunicacao,Email,5,1,5,5,5,5,5,5,5,5,5,5,5
Comunicacao,WhatsApp,5,4,20,2,2,2,2,2,2,2,2,2,2
Comunicacao,Mensagens internas,3,2,6,5,5,5,5,5,5,5,3,2,5
Comunidade,Eventos,4,1,4,5,5,5,5,5,5,5,5,5,5
Comunidade,Marketplace,3,1,3,5,5,5,5,5,3,4,3,5,5
Relatorios,Receita/ocupacao,5,1,5,5,5,5,5,5,5,5,5,4,5
Relatorios,Churn/retencao,4,2,8,5,5,4,5,5,4,4,4,2,5
Multi-unidades,Gestao centralizada,5,4,20,5,5,5,5,5,5,5,5,5,5
Multi-unidades,Permissoes por unidade,4,2,8,5,5,5,5,5,5,5,5,3,5
Permissoes,Perfis/funcoes,4,3,12,5,5,5,5,5,5,5,5,5,5
Permissoes,Auditoria,4,4,16,5,5,5,5,5,5,5,5,3,5
Integracoes,API publica,5,0,0,5,5,5,4,5,5,2,2,2,5
Integracoes,Webhooks,3,3,9,5,5,5,4,5,5,2,2,2,5
Integracoes,Zapier/Make,4,0,0,5,5,5,5,5,5,5,5,3,5
Integracoes,Stripe,5,3,15,5,5,5,5,5,5,5,5,5,4
IA,Assistente/chatbot,3,0,0,5,4,5,2,5,2,2,2,2,3
IA,Previsao ocupacao/churn,3,0,0,5,5,4,2,5,2,2,2,2,3
App,App iOS/Android,5,0,0,5,5,5,5,5,5,5,5,5,5
App,White label,4,0,0,5,5,5,5,5,5,5,5,3,5
App,Multi-idioma,3,2,6,5,5,4,5,5,5,5,3,3,5
TOTAL PONDERADO,,,411,,,,,,,,,
SOMA PESOS,,,293,,,,,,,,,
MEDIA PONDERADA,,,1.40,,,,,,,,,
